title,company,location,how old,link
Desenvolvedor de Sistemas Python,Grupo Nexxees,"Florianópolis, SC",há 6 dias,https://br.indeed.com/rc/clk?jk=e1e32713caf59f6e&fccid=db5f841247aaf759&vjs=3
Desenvolvedor Python - DV,Divulga Vagas,"São Paulo, SP",há 4 dias,https://br.indeed.com/rc/clk?jk=8eb54cf70c9921de&fccid=1abbffd7f44ec1e9&vjs=3
Desenvolvedor(a) Python + Angular,Iniciativa Assessoria em Recursos Humanos,"Porto Alegre, RS",há 4 dias,https://br.indeed.com/rc/clk?jk=fe92f8c0124a5940&fccid=dc947c1a530a5619&vjs=3
Estagiário bilíngue (Inglês e Português) de Frontend,amdocs,"São Carlos, SP",há 6 dias,https://br.indeed.com/rc/clk?jk=d902f4e4d511a207&fccid=3b6bf500a6749588&vjs=3
Computer Vision Scientist,TOTVS,"São Paulo, SP",há 27 dias,https://br.indeed.com/rc/clk?jk=71fdc827ef522422&fccid=67d569b06da4f569&vjs=3
TÉCNICO MEDIÇÃO INSPEÇÃO I,Energisa - Recrutamento Externo,"Cuiabá, MT",há 13 dias,https://br.indeed.com/rc/clk?jk=e34baaceed74b3c6&fccid=3b88f8e20a38413a&vjs=3
Estagiário de Sistemas TI,Wilson Sons,"Rio de Janeiro, RJ",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=e9f9d424c23b9667&fccid=937439d7959e38ef&vjs=3
Data Center Network Engineer,Promon Logicalis,Brasil,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=d978bd8ed69f74e2&fccid=0ca596ca3fb8305d&vjs=3
Analistas de dados,B2W Digital,"Rio de Janeiro, RJ",há 3 dias,https://br.indeed.com/rc/clk?jk=f5996a1a965150b9&fccid=9a54cd3cc68df0fc&vjs=3
[ROCKY] Estágio - TI,ROCKY Full Digital Performance,"Sorocaba, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=ffefadc01f4d2c8a&fccid=d77760f72a355bbb&vjs=3
IPA / RPA Developer,KPMG,Brasil,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=08c5c635c75f91d8&fccid=2dd390c3a48a7ed0&vjs=3
Senior or Mid-Level Python Developer (International Project),Prowork Consultoria,"Curitiba, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=35d765583fb2128a&fccid=ce1ea72f8e039a1d&vjs=3
Developer Python Sênior,Ci&T,Brasil,há 25 dias,https://br.indeed.com/rc/clk?jk=b608bbfaafa10612&fccid=289d7ce11c250f70&vjs=3
ESTÁGIO EM TESTES DE SOFTWARE,Eldorado,"Campinas, SP",há 6 dias,https://br.indeed.com/rc/clk?jk=cf0546d8acbaf98f&fccid=70cf64a0b596b733&vjs=3
Desenvolvedor(a) Python pleno,GeekHunter,"São Paulo, SP",há 11 dias,https://br.indeed.com/rc/clk?jk=275e0513c0c55e52&fccid=9ba8dec3013c0c90&vjs=3
Analista de Dados Pleno,Icaro Tech,"Campinas, SP",há 2 dias,https://br.indeed.com/rc/clk?jk=86339fb6405e1027&fccid=bff4b84c722c1fe5&vjs=3
DevOps Specialist,Maxihost,Remoto,há 9 dias,https://br.indeed.com/company/Maxihost/jobs/Devops-Specialist-622d3f56c11562d2?fccid=2d8cef8fe91da13b&vjs=3
Estágio - Frontend / Backend,Bild Desenvolvimento Imobiliário,"Ribeirão Preto, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=ef10bf6af9c4b73a&fccid=031362d948698b1a&vjs=3
Developer Python/Angular Sênior,Ci&T,Brasil,há 25 dias,https://br.indeed.com/rc/clk?jk=0841e5168db5eae9&fccid=289d7ce11c250f70&vjs=3
Business Data (BI) Analyst (Remote-LATAM),Loadsmart,"São Paulo, SP",há 5 dias,https://br.indeed.com/rc/clk?jk=37060b0cb7289db9&fccid=bf02915605893e1a&vjs=3
Arquiteto de Testes,Indra,"João Pessoa, PB",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=c788326535b06740&fccid=7ebf81831a412784&vjs=3
Arquiteto de software,Mazzatech,Remoto,há 12 dias,https://br.indeed.com/rc/clk?jk=aacb242bcb1ee344&fccid=7d320c75db933aec&vjs=3
Estágio em Data Analytics,Instituto de Pesquisas Eldorado,"Campinas, SP",há 26 dias,https://br.indeed.com/rc/clk?jk=2745168427e2ff73&fccid=97ac87bbe35a26cc&vjs=3
Junior Credit Portfolio Officer,Swiss Re,"São Paulo, SP",há 4 dias,https://br.indeed.com/rc/clk?jk=a7ffd4e4db075a1f&fccid=ce527f971de2a93a&vjs=3
Desenvolvedor Python,Órama,"Rio de Janeiro, RJ",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=8bbf64ceab6a5eea&fccid=704967faf7b662a6&vjs=3
